Plant code,Region,Spend Category,Combined risk category,High risk site,Audit Status,Audit Request,Hypercare Level
XXX1000011719,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000012315,No region classified,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000012323,LA,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1000012604,No region classified,Licensee,High,High Risk,Audit compliant,Audit Compliant,Hypercare
XXX1000013474,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000014091,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000014127,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000014572,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000014908,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000014984,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000015316,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000015524,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000015953,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000016,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000017143,AMEA,Licensee,High,High Risk,Audit compliant,Audit Compliant,Level 2
XXX1000018433,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 2
XXX1000018775,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000018878,No region classified,Licensee,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1000019085,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000019312,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000020018,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,No audit information
XXX1000021257,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1000021258,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1000022462,Not in Supplier DB,Not in Supplier DB,,Not applicable,Not applicable,Not applicable,No audit information
XXX1000022854,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000023,No region classified,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000023999,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000024,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1000024040,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000024166,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000026283,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000026632,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000027403,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000027715,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1000027869,No region classified,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000028001,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000029565,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000030034,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000030040,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000030418,LA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,No audit information
XXX1000030849,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000031329,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000031511,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000032376,LA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000032725,MEU,Co-Packing,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1000032916,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000033,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1000033062,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000033406,MEU,Co-Packing,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000033765,MEU,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000033789,MEU,Co-Packing,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1000034330,MEU,Co-Packing,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1000034442,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000034593,MEU,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000034677,MEU,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000035017,No region classified,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000035018,No region classified,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000035594,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000035882,MEU,Co-Packing,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1000036459,MEU,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000036841,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 1
XXX1000036978,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000036994,LA,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000037014,LA,EM,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1000037023,LA,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000038235,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000038283,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000038417,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1000038562,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000038843,MEU,Co-Packing,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000039140,MEU,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000039347,AMEA,Raw materials,High,High Risk,No audit done,Request New Audit,No audit information
XXX1000039386,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000039997,LA,EM,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000040745,AMEA,EM,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000041554,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000041814,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1000042165,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000042515,No region classified,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000044326,LA,Packaging materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000044376,AMEA,Co-Packing,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1000044459,No region classified,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1000044460,No region classified,Licensee,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1000044721,AMEA,EM,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000045333,AMEA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1000045665,MEU,Licensee,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000045740,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000046240,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000046565,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000046591,LA,Licensee,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000046772,AMEA,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000047867,MEU,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000047916,AMEA,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000048146,AMEA,EM,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1000048155,MEU,Licensee,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000048274,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000049056,MEU,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000049305,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000049471,AMEA,Co-Packing,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1000049581,MEU,Co-Packing,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1000049913,MEU,Co-Packing,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1000050030,MEU,Licensee,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000050175,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000050440,LA,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000050457,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1000050670,MEU,Licensee,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1000050712,LA,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000051,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1000051168,LA,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000052028,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000052111,AMEA,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000052383,AMEA,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000052433,MEU,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000052704,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000053138,AMEA,Licensee,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000053471,AMEA,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000053610,MEU,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000053826,MEU,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1000054010,No region classified,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000054011,No region classified,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000054012,No region classified,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000054099,No region classified,Licensee,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1000054226,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000054310,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1000054467,AMEA,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000054627,AMEA,Licensee,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1000054834,MEU,Co-Packing,Low,Not applicable,Not applicable,Not applicable,Level 2
XXX1000054971,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1000055932,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000056023,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000056140,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000057011,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000057484,AMEA,Co-Packing,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1000057539,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000057542,No region classified,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000057581,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000058421,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000058430,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000058544,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000058671,MEU,Co-Packing,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1000059609,MEU,Co-Packing,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1000060012,MEU,Co-Packing,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1000060186,AMEA,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000060240,AMEA,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000060407,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000060408,AMEA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1000060526,MEU,EM,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000060706,No region classified,Licensee,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1000060756,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000062,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000062539,No region classified,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 2
XXX1000062631,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1000063030,LA,Co-Packing,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000063134,AMEA,Co-Packing,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1000063401,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000063527,MEU,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000063528,MEU,Licensee,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000063544,No region classified,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1000063825,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000063943,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000064138,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000064605,AMEA,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000064816,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000064822,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000064896,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000065517,LA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000065523,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000065562,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000066373,AMEA,Packaging materials,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1000066668,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000066746,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000067411,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000067500,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000067685,No region classified,Raw materials,High,High Risk,No audit done,Request New Audit,No audit information
XXX1000067689,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000067720,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000067856,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000067858,No region classified,EM,Low,Not applicable,Not applicable,Not applicable,Level 2
XXX1000067865,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000067867,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000067971,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000068113,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000068154,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000068440,AMEA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Hypercare
XXX1000068681,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000068689,No region classified,Packaging materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000068703,No region classified,EM,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000068860,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000068944,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000068992,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000069030,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000069768,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000069825,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000070114,LA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000070401,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000070481,Not in Supplier DB,Not in Supplier DB,,Not applicable,Not applicable,Not applicable,No audit information
XXX1000070568,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000071019,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000071053,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000071112,LA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000071163,AMEA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 2
XXX1000071182,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000071958,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000072501,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000072589,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1000072669,AMEA,Raw materials,High,High Risk,No audit done,Request New Audit,No audit information
XXX1000072693,AMEA,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000072874,AMEA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000072971,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000072981,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000073,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000073061,AMEA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1000073492,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1000073608,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1000073802,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000073804,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000073900,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000074136,No region classified,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Hypercare
XXX1000074778,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000074960,MEU,Co-Packing,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000074973,No region classified,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000075192,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1000075257,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000075375,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000075429,Not in Supplier DB,Not in Supplier DB,,Not applicable,Not applicable,Not applicable,No audit information
XXX1000075563,LA,Packaging materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000075829,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000076696,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000076739,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000076742,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000077,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000077338,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000077339,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1000077512,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000077685,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000077729,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000077757,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000077893,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000078470,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000078538,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000078660,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000079093,AMEA,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000079522,AMEA,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000079567,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000079582,LA,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000079689,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000080212,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000080733,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000080867,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000080962,LA,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000081838,AMEA,Packaging materials,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1000082292,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000083292,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000083354,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000083449,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000083464,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000083521,AMEA,Raw materials,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1000085518,AMEA,Raw materials,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1000085745,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000086182,LA,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000086619,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000086786,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000087467,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000087517,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000089,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1000089198,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1000089543,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
